"id","name","type","damage_class","pp","power","accuracy","priority","effect","effect_chance","caused_effect","crit_rate","recoil","flinch_chance","healing","min_turns","max_turns","status","category","range","flags","None0","None1","None2","padding0","padding1","padding2"
135,"Softboiled","Normal","none",10,0,101,0,"User gains half of total HP. Fails if user's HP is full.",0,"fine",0,0,0,50,0,0,0,3,7,4128,0,0,0,83,83,0
136,"Hi Jump Kick","Fighting","physical",10,110,100,0,"If this attack misses or becomes ineffective, user loses half of the damage the attack would have dealt (ignoring type immunities, not considered recoil damage), but not [less than 1 HP or] more HP than half of opponent's total HP.",0,"fine",0,0,0,0,0,0,0,0,0,585,0,0,0,83,83,0
137,"Glare","Normal","none",30,0,100,0,"Paralyzes opponent. (Not affected by type immunities.)",0,"paralyzed",0,0,0,0,0,0,1,1,0,88,0,0,0,83,83,0
138,"Dream Eater","Psychic","special",15,100,100,0,"Fails unless opponent is asleep. If this attack is successful, user gains half of HP lost by opponent due to this attack.",0,"fine",0,50,0,0,0,0,0,8,0,72,0,0,0,83,83,0
139,"Poison Gas","Poison","none",40,0,100,0,"Poisons opponent.",0,"poisoned",0,0,0,0,0,0,1,1,5,88,0,0,0,83,83,0
140,"Barrage","Normal","physical",20,30,100,0,"Multi-hit attack. Attacks two to five times in a row. 37.5% for 2 or 3 times; 12.5% for 4 or 5 times.",0,"fine",0,0,0,0,0,0,0,0,0,72,0,0,0,83,83,0
141,"Leech Life","Bug","physical",15,20,100,0,"If this attack is successful, user gains half of HP lost by opponent due to this attack.",0,"fine",0,50,0,0,0,0,0,8,0,73,0,0,0,83,83,0
142,"Lovely Kiss","Normal","none",10,0,75,0,"Puts opponent to sleep.",0,"asleep",0,0,0,0,2,4,2,1,0,88,0,0,0,83,83,0
143,"Sky Attack","Flying","physical",5,140,100,0,"Two-turn attack. Good chance for a critical hit. May cause opponent to flinch.",0,"fine",0,0,30,0,0,0,0,0,0,2122,0,0,0,83,83,0
144,"Transform","Normal","none",10,0,101,0,"User's Attack, Defense, Speed, Special Attack, and Special Defense stats; types; moves; species; individual values; ability; and stat stages become those of the opponent. Ends effect of Disable for the user. Moves copied have 5 PP. Fails if opponent is using Fly, Dig, Dive, or Bounce. These attributes revert to their originals when user is replaced. During effect, user can use this attack, and this attack fails against user.",0,"fine",0,0,0,0,0,0,0,13,0,0,0,0,0,83,83,0
145,"Bubble","Water","special",30,40,100,0,"Decreases opponent's Speed by 1 stage.",0,"fine",0,0,0,0,0,0,0,6,5,72,327680,16711680,655360,83,83,0
146,"Dizzy Punch","Normal","physical",10,70,100,0,"May confuse opponent. (20%)",20,"confused",0,0,0,0,2,5,2,4,0,201,0,0,0,83,83,0
147,"Spore","Grass","none",15,0,100,0,"Puts opponent to sleep.",0,"asleep",0,0,0,0,2,4,2,1,0,88,0,0,0,83,83,0
148,"Flash","Normal","none",20,0,0,0,"Decreases opponent's Accuracy by 1 stage.",0,"fine",0,0,0,0,0,0,0,2,0,88,393216,16711680,0,83,83,0
149,"Psywave","Psychic","special",15,1,100,0,"Deals damage to opponent equal to (user's level) * (N * 10 + 50) / 100, rounded down, where N is a random number from 0 through 10. Affected by type immunities.",0,"fine",0,0,0,0,0,0,0,0,0,72,0,0,0,83,83,0
150,"Splash","Normal","none",40,0,101,0,"Has no effect at all.",0,"fine",0,0,0,0,0,0,0,13,7,512,0,0,0,83,83,0
151,"Acid Armor","Poison","none",40,0,101,0,"Increases user's Defense by 2 stages.",0,"fine",0,0,0,0,0,0,0,2,7,32,131072,131072,0,83,83,0
152,"Crabhammer","Water","physical",10,90,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
153,"Explosion","Normal","physical",5,350,100,0,"User faints as part of this attack's use. Fails if no target exists (doesn't cause fainting).",0,"fine",0,0,0,0,0,0,0,0,4,72,0,0,0,83,83,0
154,"Fury Swipes","Normal","physical",15,18,80,0,"Multi-hit attack. Attacks two to five times in a row. 37.5% for 2 or 3 times; 12.5% for 4 or 5 times.",0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
155,"Bonemerang","Ground","physical",10,55,100,0,"Strikes twice.",0,"fine",0,0,0,0,0,0,0,0,0,72,0,0,0,83,83,0
156,"Rest","Psychic","none",10,0,101,0,"User gains all HP; user sleeps with a sleep count of 3, even if user has a status problem. Fails if user's HP is full or if user is already asleep. Does nothing if user cannot fall asleep.",0,"fine",0,0,0,0,0,0,0,13,7,4128,0,0,0,83,83,0
157,"Rock Slide","Rock","physical",10,70,100,0,"May cause opponent to flinch.",0,"fine",0,0,30,0,0,0,0,0,5,72,0,0,0,83,83,0
158,"Hyper Fang","Normal","physical",15,80,100,0,"May cause opponent to flinch.",0,"fine",0,0,10,0,0,0,0,0,0,73,0,0,0,83,83,0
159,"Sharpen","Normal","none",30,0,101,0,"Increases user's Attack by 1 stage.",0,"fine",0,0,0,0,0,0,0,2,7,32,65536,65536,0,83,83,0
160,"Conversion","Normal","none",30,0,101,0,"User's types become the original type of one of the user's moves, except Curse, chosen at random. Fails if user has Multitype or if each of user's moves (except Curse) is of either type of the user, since it chooses a type other than one of user's types.",0,"fine",0,0,0,0,0,0,0,13,7,32,0,0,0,83,83,0
161,"Tri Attack","Normal","special",10,80,100,0,"May either burn, freeze, or poison opponent. (20%)",0,"Other",0,0,0,0,0,0,1,4,0,72,0,0,0,83,83,0
162,"Super Fang","Normal","physical",10,1,100,0,"Deals damage to opponent equal to half of opponent's current HP, but not less than 1. Affected by type immunities.",0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
163,"Slash","Normal","physical",20,80,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
164,"Substitute","Normal","none",10,0,101,0,"Creates a decoy using 1/4 of user's total HP. Effect ends when user is switched. More information.3",0,"fine",0,0,0,0,0,0,0,13,7,32,0,0,0,83,83,0
165,"Struggle",,"physical",1,50,101,0,"This attack's effectiveness is not affected by user's or opponent's types. If this attack is successful, user loses 1/4 of total HP (not considered recoil damage).",0,"fine",0,0,0,-25,0,0,0,0,0,9,0,0,0,83,83,0
166,"Sketch","Normal","none",1,0,101,0,"{Permanently copies move opponent last used (different variable). That move replaces this move even after the battle ends. Does not copy Sketch, Struggle, Chatter, or any move user knows. Fails if Transform is in effect for user. Moves copied this way have all PP.}",0,"fine",0,0,0,0,0,0,0,13,0,8192,0,0,0,83,83,0
167,"Triple Kick","Fighting","physical",10,20,100,0,"Hits three times. When used, power starts at its original value, and increases by 10 after each hit.",0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
168,"Thief","Dark","physical",10,60,100,0,"If this attack is successful, user receives opponent's held item (even if opponent has zero HP) if user isn't holding any items, if that item is not a Mail, if user did not drop its held item this battle, and unless opponent has Multitype or is one of the player's Pokemon in an internal battle.",0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
169,"Spider Web","Bug","none",10,0,101,0,"{During effect, opponent cannot switch or flee. Effect ends when user or opponent is switched. During effect, this attack fails against opponent.}",0,"fine",0,0,0,0,0,0,0,13,0,88,0,0,0,83,83,0
170,"Mind Reader","Normal","none",5,0,101,0,"[Until the end of the next round, attacks by the user against the opponent hit without fail5. Effect ends when user or opponent is switched or when an attack hits without fail this way. User can use this attack during effect. When this attack is used, effect of this attack ends for all other non-users.]",0,"fine",0,0,0,0,0,0,0,13,0,72,0,0,0,83,83,0
171,"Nightmare","Ghost","none",15,0,100,0,"Fails unless opponent is asleep. As long as opponent remains asleep, opponent loses 1/4 of total HP at the end of every round (including the current round). Effect ends when opponent is replaced or wakes up.",0,"Special(9)",0,0,0,0,0,0,1,1,0,72,0,0,0,83,83,0
172,"Flame Wheel","Fire","physical",25,60,100,0,"May burn opponent. If user is frozen and it chose this move for use, it becomes defrosted before this attack is used. (10%)",10,"burnt",0,0,0,0,0,0,1,4,0,1097,0,0,0,83,83,0
173,"Snore","Normal","special",15,70,100,0,"May cause opponent to flinch. Fails unless user is asleep.",0,"fine",0,0,30,0,0,0,0,0,0,328,0,0,0,83,83,0
174,"Curse","Ghost","none",10,0,101,0,"If user's current type does not include Ghost or if user has Magic Guard, decreases user's Speed by one stage and increases user's Attack and Defense by one stage. Otherwise, user loses half of total HP (even if HP reduced would faint user) and at the end of every round, opponent loses 1/4 of total HP. This latter effect ends when opponent is switched. During effect, this attack fails against opponent. Fails either way if no target exists. (As commands are chosen, if user's current type does not include Ghost or if user has Magic Guard, user can't choose an opponent. If user doesn't choose an opponent, a random opposing Pokemon is chosen as the opponent as this attack is used.)",0,"fine",0,0,0,0,0,0,0,13,13,8192,0,0,0,83,83,0
175,"Flail","Normal","physical",15,1,100,0,"This attack's power is 200 if N is less than 2, 150 if N is 2 through 5, 100 if N is 6 through 12, 80 if N is 13 through 21, 40 if N is 22 through 42, or 20 if N is 43 or greater, where N is equal to (user's current HP * 64 / user's total HP), rounded down.",0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
176,"Conversion 2","Normal","none",30,0,101,0,"{User's types change to a random type that is resistant or immune to the type of the last attack that successfully targeted user. Fails if there is no such attack or if user has Multitype. Doesn't choose either of the user's types. More information4.}",0,"fine",0,0,0,0,0,0,0,13,0,8192,0,0,0,83,83,0
177,"Aeroblast","Flying","special",5,100,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,2120,0,0,0,83,83,0
178,"Cotton Spore","Grass","none",40,0,100,0,"Decreases opponent's Speed by 2 stages.",0,"fine",0,0,0,0,0,0,0,2,0,88,327680,16646144,0,83,83,0
179,"Reversal","Fighting","physical",15,1,100,0,"This attack's power is 200 if N is less than 2, 150 if N is 2 through 5, 100 if N is 6 through 12, 80 if N is 13 through 21, 40 if N is 22 through 42, or 20 if N is 43 or greater, where N is equal to (user's current HP * 64 / user's total HP), rounded down.",0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
180,"Spite","Ghost","none",10,0,100,0,"Decreases PP of last move used by opponent by 4. Fails if that move has zero PP or if there is no such move.",0,"fine",0,0,0,0,0,0,0,13,0,8280,0,0,0,83,83,0
181,"Powder Snow","Ice","special",25,40,100,0,,0,"fine",0,0,0,0,0,0,1,4,5,72,0,0,0,83,83,0
182,"Protect","Normal","none",10,0,101,4,"User avoids certain attacks used this round by non-users. This attack fails if user strikes last this round. A variable, X, starts at 0, and resets to 0 if the last move called for the user is not Protect, Detect, or Endure as user uses this attack or if this attack fails, and increases by 1 (up to 3) each time this attack is successful. This attack has a 50% chance of failing if X is 1, a 75% chance if X is 2, and an 87.5% chance if X is 3. Priority level 3.",0,"fine",0,0,0,0,0,0,0,13,7,0,0,0,0,83,83,0
183,"Mach Punch","Fighting","physical",30,40,100,1,"Priority level 1.",0,"fine",0,0,0,0,0,0,0,0,0,201,0,0,0,83,83,0
184,"Scary Face","Normal","none",10,0,100,0,"Decreases opponent's Speed by 2 stages.",0,"fine",0,0,0,0,0,0,0,2,0,88,327680,16646144,0,83,83,0
185,"Faint Attack","Dark","physical",20,60,101,0,"Cannot be evaded.",0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
186,"Sweet Kiss","Normal","none",10,0,75,0,"Confuses opponent.",0,"confused",0,0,0,0,2,5,2,1,0,88,0,0,0,83,83,0
187,"Belly Drum","Normal","none",10,0,101,0,"User loses half of total HP, and increases user's Attack by 12 stages. Will fail if HP reduced would faint user or if user's Attack cannot be increased.",0,"fine",0,0,0,0,0,0,0,13,7,32,0,0,0,83,83,0
188,"Sludge Bomb","Poison","special",10,90,100,0,"May poison opponent. (30%)",30,"poisoned",0,0,0,0,0,0,1,4,0,72,0,0,0,83,83,0
189,"Mud-Slap","Ground","special",10,20,100,0,"May decrease opponent's Special Defense by 1 stage.",0,"fine",0,0,0,0,0,0,0,6,0,72,393216,16711680,6553600,83,83,0
190,"Octazooka","Water","special",10,65,100,0,"May decrease opponent's Special Defense by 1 stage.",0,"fine",0,0,0,0,0,0,0,6,0,72,393216,16711680,3276800,83,83,0
191,"Spikes","Ground","none",20,0,101,0,"Can be used up to three times. During effect, whenever an opposing Pokémon becomes active, that Pokémon, unless it's a Flying type or has Levitate, loses HP:  1/8 of total HP for one use; 1/6 of total HP for two uses; and 1/4 of total HP for three uses.",0,"fine",0,0,0,0,0,0,0,11,11,16,0,0,0,83,83,0
192,"Zap Cannon","Electric","special",5,60,100,0,"May paralyze opponent. (50%)",50,"paralyzed",0,0,0,0,0,0,1,4,0,72,0,0,0,83,83,0
193,"Foresight","Normal","none",40,0,101,0,"During effect, if opponent's evasiveness stat stage is greater than 0, it temporarily becomes 0 in accuracy checks for attacks against the opponent. During effect, Normal- and Fighting-type attacks against opponent have normal effectiveness against the Ghost type. Effect ends when opponent is replaced. This attack can be used against opponent during effect.",0,"Special(17)",0,0,0,0,0,0,1,1,0,8280,0,0,0,83,83,0
194,"Destiny Bond","Ghost","none",5,0,101,0,"Until user's next turn, if an attack by an opposing Pokémon causes the user to faint, that opposing Pokémon also faints if that Pokémon is still active .",0,"fine",0,0,0,0,0,0,0,13,7,8192,0,0,0,83,83,0
195,"Perish Song","Normal","none",5,0,101,0,"Each active Pokémon without a perish count receives a perish count of 4. At the end of every round (including the current round), the perish count of each active Pokémon is reduced by 1 and all Pokémon with a perish count of 0 faint simultaneously. A Pokémon's perish count is removed when it is switched.",0,"Special(20)",0,0,0,0,4,4,2,1,8,10496,0,0,0,83,83,0
196,"Icy Wind","Ice","special",15,55,100,0,"May decrease opponent's Speed by 1 stage.",0,"fine",0,0,0,0,0,0,0,6,5,72,327680,16711680,6553600,83,83,0
197,"Detect","Fighting","none",5,0,101,4,"User avoids certain attacks used this round by non-users. This attack fails if user strikes last this round. A variable, X, starts at 0, and resets to 0 if the last move called for the user is not Protect, Detect, or Endure as user uses this attack or if this attack fails, and increases by 1 (up to 3) each time this attack is successful. This attack has a 50% chance of failing if X is 1, a 75% chance if X is 2, and an 87.5% chance if X is 3. Priority level 3.",0,"fine",0,0,0,0,0,0,0,13,7,0,0,0,0,83,83,0
198,"Bone Rush","Ground","physical",10,25,100,0,"Multi-hit attack. Attacks two to five times in a row. 37.5% for 2 or 3 times; 12.5% for 4 or 5 times.",0,"fine",0,0,0,0,0,0,0,0,0,72,0,0,0,83,83,0
199,"Lock-On","Normal","none",5,0,101,0,"[Until the end of the next round, attacks by the user against the opponent hit without fail5. Effect ends when user or opponent is switched or when an attack hits without fail this way. User can use this attack during effect. When this attack is used, effect of this attack ends for all other non-users.]",0,"fine",0,0,0,0,0,0,0,13,0,72,0,0,0,83,83,0
200,"Outrage","Dragon","physical",10,115,100,0,"If this attack is successful, the effect begins. Effect lasts for two or three rounds, including the current round. During effect, user uses this attack during each of its turns and can't take any other action. [When user uses this attack this way during the last round of the effect, it becomes confused at the end of that round], unless it's already confused. Effect ends without causing confusion if this attack's type is ineffective against opponent's types [before the last round of the effect], if user is prevented from using this attack, or when user falls asleep, becomes frozen, or is replaced [before the last round of the effect]. If user is asleep, this attack deals damage and lasts one turn (doesn't cause confusion).",0,"fine",0,0,0,0,0,0,0,0,9,73,0,0,0,83,83,0
201,"Sandstorm","Rock","none",10,0,101,0,"Weather. Lasts for five rounds including the current round. At the end of every round except the last, each active Pokémon, except Ground, Rock, and Steel types, loses 1/16 of total HP simultaneously. During effect, Special Defense of active Pokémon whose current type includes Rock is multiplied by 1.5.",0,"fine",0,0,0,0,0,0,0,10,10,0,0,0,0,83,83,0
202,"Giga Drain","Grass","special",10,75,100,0,"If this attack is successful, user gains half of HP lost by opponent due to this attack.",0,"fine",0,50,0,0,0,0,0,8,0,72,0,0,0,83,83,0
203,"Endure","Normal","none",10,0,101,4,"Until the end of the round, if an attack by non-users would reduce user's HP to less than 1, its damage is changed so that it reduces user's HP to 1 instead. This attack fails if it occurred last this round. A variable, X, starts at 0, and resets to 0 if the last move called for the user is not Protect, Detect, or Endure as user uses this attack or if this attack fails, and increases by 1 (up to 3) each time this attack is successful. This attack has a 50% chance of failing if X is 1, a 75% chance if X is 2, and an 87.5% chance if X is 3. Priority level 3.",0,"fine",0,0,0,0,0,0,0,13,7,0,0,0,0,83,83,0
204,"Charm","Normal","none",20,0,100,0,"Decreases opponent's Attack by 2 stages.",0,"fine",0,0,0,0,0,0,0,2,0,88,65536,16646144,0,83,83,0
205,"Rollout","Rock","physical",20,40,100,0,"User uses this attack for five turns, during which user can't take any other action. A multiplier, X (which begins at 0), increases by 1 whenever this attack is successful. Effect ends and X is reset to 0 when user is replaced; when this attack is prevented from being used, misses, or becomes ineffective; when the attack is used for five turns; or when user falls asleep or becomes frozen. This attack's power is multiplied by 2 to the power of X. If user is asleep, this attack's effect lasts one turn.",0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
206,"False Swipe","Normal","physical",40,40,100,0,"If this attack's damage would be equal to or greater than opponent's current HP, its damage is instead equal to opponent's current HP minus 1. (This attack doesn't fail if 0 damage would be dealt this way.)",0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
207,"Swagger","Normal","none",15,0,100,0,"If opponent's Attack can be increased, increases opponent's Attack by 2 stages. If opponent is not confused, confuses opponent.",0,"confused",0,0,0,0,2,5,2,5,0,88,65536,131072,0,83,83,0
208,"Milk Drink","Normal","none",10,0,101,0,"User gains half of total HP. Fails if user's HP is full.",0,"fine",0,0,0,50,0,0,0,3,7,4128,0,0,0,83,83,0
209,"Spark","Electric","physical",20,65,100,0,"May paralyze opponent. (30%)",30,"paralyzed",0,0,0,0,0,0,1,4,0,73,0,0,0,83,83,0
210,"Fury Cutter","Bug","physical",20,40,100,0,"A multiplier, X (which begins at 0), increases by 1 if this attack is successful, up to a maximum of 4. X is reset to 0 when user is replaced; when user falls asleep or becomes frozen; or when this attack is prevented from being used, misses, or becomes ineffective. This attack's power is multiplied by 2 to the power of X.",0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
211,"Steel Wing","Steel","physical",25,70,100,0,"May increase user's Defense by 1 stage.",0,"fine",0,0,0,0,0,0,0,7,0,73,131072,65536,655360,83,83,0
212,"Mean Look","Normal","none",5,0,101,0,"{During effect, opponent cannot switch or flee. Effect ends when user or opponent is switched. During effect, this attack fails against opponent.}",0,"fine",0,0,0,0,0,0,0,13,0,88,0,0,0,83,83,0
213,"Attract","Normal","none",15,0,0,0,"Infatuates opponent. (There is a 50% chance that the attack of an infatuated Pokémon will be canceled.) Fails if user or opponent is genderless, or if both have the same gender. Effect ends when user or opponent is replaced. During effect, this attack fails against opponent.",0,"Special(7)",0,0,0,0,0,0,3,1,0,8280,0,0,0,83,83,0
214,"Sleep Talk","Normal","none",10,0,101,0,"Uses one of the user's moves, at random. Fails unless user is asleep. Doesn't choose the following:  Sleep Talk, Copycat, Assist, Me First, Metronome, Mirror Move, Focus Punch, Uproar, Chatter, Bide, any two-turn move, any move the user cannot choose for use, or a move with zero PP. No PP is spent for the move used.",0,"fine",0,0,0,0,0,0,0,13,7,0,0,0,0,83,83,0
215,"Heal Bell","Normal","none",5,0,101,0,"Each Pokémon in user's party is cured of its status problem.",0,"fine",0,0,0,0,0,0,0,13,6,288,0,0,0,83,83,0
216,"Return","Normal","physical",20,1,100,0,"This attack's power is equal to int((User's happiness)*2/5). Minimum 1.",0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
217,"Present","Normal","physical",15,1,100,0,"At random, recovers to opponent 1/4 of total HP (52/256 chance), or deals 40 (102/256), 80 (76/256), or 120 (26/256) power.",0,"fine",0,0,0,0,0,0,0,0,0,72,0,0,0,83,83,0
218,"Frustration","Normal","physical",20,1,100,0,"This attack's power is equal to int((255-User's happiness)*2/5). Minimum 1.",0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
219,"Safeguard","Normal","none",25,0,101,0,"{For five rounds, including the current round, for each active Pokémon on the user's side, attacks by other Pokémon and items cannot inflict status problems or confusion against that Pokémon. During effect, Yawn will fail against any active Pokémon on the user's side. During effect, this attack fails for user's party.}",0,"fine",0,0,0,0,0,0,0,11,12,32,0,0,0,83,83,0
220,"Pain Split","Normal","none",20,0,101,0,"User's HP and opponent's HP become equal to the average of user's and opponent's current HP, rounded down, and are adjusted so that they don't exceed their total HP. Not affected by type immunities.",0,"fine",0,0,0,0,0,0,0,13,0,72,0,0,0,83,83,0
221,"Sacred Fire","Fire","physical",5,95,100,0,"May burn opponent. If user is frozen and it chose this move for use, it becomes defrosted before this attack is used. (50%)",50,"burnt",0,0,0,0,0,0,1,4,0,1096,0,0,0,83,83,0
222,"Magnitude","Ground","physical",30,1,100,0,"This attack's power is 10 (5% chance), 30 (10%), 50 (20%), 70 (30%), 90 (20%), 110 (10%), or 150 (5%) (Magnitude 4 through 10, respectively). If an opponent is using Dig, this attack's power is doubled for that opponent.",0,"fine",0,0,0,0,0,0,0,0,4,72,0,0,0,83,83,0
223,"DynamicPunch","Fighting","physical",5,80,100,0,"May confuse opponent. (100%)",100,"confused",0,0,0,0,2,5,2,4,0,201,0,0,0,83,83,0
224,"Megahorn","Bug","physical",10,100,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
225,"DragonBreath","Dragon","special",20,60,100,0,"May paralyze opponent. (30%)",30,"paralyzed",0,0,0,0,0,0,1,4,0,72,0,0,0,83,83,0
226,"Baton Pass","Normal","none",40,0,101,0,"Replaces user's Pokémon with a different non-active Pokémon in user's party of user's choice and transfers user's stat stages, confusion, and effects of certain moves to the new Pokémon.",0,"fine",0,0,0,0,0,0,0,13,7,0,0,0,0,83,83,0
227,"Encore","Normal","none",5,0,100,0,"Effect lasts for four to eight rounds, including the current round. During effect, opponent, during each of its turns, uses the last move it used before this attack was used, with no target, and opponent chooses that move for use automatically and can't choose any other move for use. (Opponent can switch or flee as normal.) This attack fails if there is no affected move; the affected move is Transform, Mimic, Sketch, Mirror Move, Encore, or Struggle; if opponent doesn't have affected move; or if affected move has zero PP. During effect, this attack fails against opponent. Effect ends when opponent is replaced. At the beginning of opponent's turn and at the end of the round, if affected move has changed, effect ends. At the end of the round, if affected move has zero PP, effect ends.",0,"fine",0,0,0,0,0,0,0,13,0,8280,0,0,0,83,83,0
228,"Pursuit","Dark","physical",20,40,100,0,"When opponent switches, if user chose this move for use and opponent is one of user's opposing Pokémon, and if user is not asleep, frozen, or about to skip its attack this round because it has Truant, and if user did not take its turn yet this round, user uses this attack with effectiveness doubled and skips its attack this round. (Can be used this way even if disabled. If this attack is used this way, user is considered to strike before other Pokémon. If this attack causes the opponent to faint this way, the new Pokémon at opponent's position becomes active immediately.)",0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
229,"Rapid Spin","Normal","physical",40,20,100,0,"If this attack is successful, effects of multi-turn attacks and Leech Seed end for user, and effect of Spikes, Stealth Rock, and Toxic Spikes ends for user's side.",0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
230,"Sweet Scent","Normal","none",20,0,100,0,"Decreases opponent's evasiveness by 1 stage.",0,"fine",0,0,0,0,0,0,0,2,5,88,458752,16711680,0,83,83,0
231,"Iron Tail","Steel","physical",15,75,100,0,"May decrease opponent's Defense by 1 stage.",0,"fine",0,0,0,0,0,0,0,6,0,73,131072,16711680,1966080,83,83,0
232,"Metal Claw","Steel","physical",35,50,100,0,"May increase user's Attack by 1 stage.",0,"fine",0,0,0,0,0,0,0,7,0,73,65536,65536,655360,83,83,0
233,"Vital Throw","Fighting","physical",10,70,101,-1,"Cannot be evaded. Priority level -1.",0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
234,"Morning Sun","Normal","none",5,0,101,0,"User gains 2/3 of total HP during Sunny Day; otherwise, user gains 1/4 of total HP during Rain Dance, Hail, fog, or Sandstorm; otherwise, user gains half of total HP. (HP gain is not affected by Trick Room.)",0,"fine",0,0,0,50,0,0,0,3,7,4128,0,0,0,83,83,0
235,"Synthesis","Grass","none",5,0,101,0,"User gains 2/3 of total HP during Sunny Day; otherwise, user gains 1/4 of total HP during Rain Dance, Hail, fog, or Sandstorm; otherwise, user gains half of total HP. (HP gain is not affected by Trick Room.)",0,"fine",0,0,0,50,0,0,0,3,7,4128,0,0,0,83,83,0
236,"Moonlight","Normal","none",5,0,101,0,"User gains 2/3 of total HP during Sunny Day; otherwise, user gains 1/4 of total HP during Rain Dance, Hail, fog, or Sandstorm; otherwise, user gains half of total HP. (HP gain is not affected by Trick Room.)",0,"fine",0,0,0,50,0,0,0,3,7,4128,0,0,0,83,83,0
237,"Hidden Power","Normal","special",15,1,100,0,"This attack's power is equal to (X*40/63)+30, rounded down, where X is 0, plus 1 if half the user's HP individual value (IV) is odd, plus 2 if half its Attack IV is odd, plus 4 if half its Defense IV is odd, plus 8 if half its Speed IV is odd, plus 16 if half its Special Attack IV is: odd, plus 32 if half its Special Defense IV is odd. This attack's type is equal to (X * 15 / 63), rounded down, where X is 0, plus 1 if the user's HP IV is odd, plus 2 if its Attack IV is odd, plus 4 if its Defense IV is odd, plus 8 if its Speed IV is odd, plus 16 if its Special Attack IV is odd, plus 32 if its Special Defense IV is odd, and the type is selected from this list:  0 = Fighting; 1 = Flying; 2 = Poison; 3 = Ground; 4 = Rock; 5 = Bug; 6 = Ghost; 7 = Steel; 8 = Fire; 9 = Water; 10 = Grass; 11 = Electric; 12 = Psychic; 13 = Ice; 14 = Dragon; 15 = Dark.",0,"fine",0,0,0,0,0,0,0,0,0,72,0,0,0,83,83,0
238,"Cross Chop","Fighting","physical",5,90,100,0,,0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
239,"Twister","Dragon","special",20,40,100,0,"May cause opponent to flinch. Power is doubled if opponent is using Fly or Bounce.",0,"fine",0,0,20,0,0,0,0,0,5,72,0,0,0,83,83,0
240,"Rain Dance","Water","none",5,0,101,0,"Weather. Lasts for eight rounds including the current round. During effect, effectiveness of Water-type attacks is multiplied by 1.5, and effectiveness of Fire-type attacks is halved.",0,"fine",0,0,0,0,0,0,0,10,10,0,0,0,0,83,83,0
241,"Sunny Day","Fire","none",5,0,101,0,"Weather. Lasts for five rounds including the current round. During effect, effectiveness of Fire-type attacks is multiplied by 1.5, and effectiveness of Water-type attacks is halved. During effect, effects can't freeze a Pokemon.",0,"fine",0,0,0,0,0,0,0,10,10,0,0,0,0,83,83,0
242,"Crunch","Dark","physical",15,80,100,0,"May decrease opponent's Defense by 1 stage.",0,"fine",0,0,0,0,0,0,0,6,0,73,131072,16711680,1310720,83,83,0
243,"Mirror Coat","Psychic","special",20,1,100,-5,"If the last non-user who hit the user with a special attack this round is one of user's opposing Pokémon, and there is a Pokemon at that non-user's position, deals damage to the Pokémon at that non-user's position equal to 2 times the amount of HP lost by user due to that attack. Fails if that amount is 0. Affected by type immunities. For multi-hit attacks, returns HP based on the last hit of that attack. Priority level -5.",0,"fine",0,0,0,0,0,0,0,0,13,8,0,0,0,83,83,0
244,"Psych Up","Normal","none",10,0,101,0,"User adopts all of opponent's current stat stages.",0,"fine",0,0,0,0,0,0,0,13,0,8192,0,0,0,83,83,0
245,"ExtremeSpeed","Normal","physical",5,80,100,2,"Priority level 1.",0,"fine",0,0,0,0,0,0,0,0,0,73,0,0,0,83,83,0
246,"AncientPower","Rock","special",5,60,100,0,"May increase user's Attack, Defense, Speed, Special Attack, and Special Defense by 1 stage.",0,"fine",0,0,0,0,0,0,0,7,0,72,524288,65536,655360,83,83,0
247,"Shadow Ball","Ghost","special",15,80,100,0,"May decrease opponent's Special Defense by 1 stage.",0,"fine",0,0,0,0,0,0,0,6,0,72,262144,16711680,1310720,83,83,0
